Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,bias_err_compare,bias_err_test,inkap_x_inkap,inkap_x_reckap
130.0,2.6031117991988664e-07,3.1981757705452462e-09,0.00296116400367103,0.0013871346877660552,0.035504225420430115,0.011250985070709995,1.1817938369006733e-07,1.0317678797741058e-07
330.0,9.130867074706131e-08,1.1082296318011765e-09,0.006314742904070356,0.0007304556635756056,0.02580908125642627,0.008021657451848215,5.096958450921483e-08,4.678257831350407e-08
530.0,6.798483620889124e-08,6.939090101987421e-10,0.005394103409376066,0.0010223102518000708,0.030578074505592995,0.009342997984077412,2.6902644985989326e-08,2.4708346689033377e-08
730.0,5.776985064915973e-08,6.027749548830816e-10,-0.017631767045225146,0.0019081329407889707,0.04165585257990081,0.013150014700772848,1.6814895031045887e-08,1.5598637517560523e-08
930.0,5.1812669093281415e-08,5.400442163418681e-10,0.004740856007603743,0.0031472664974799363,0.053538435112782716,0.01676014508154062,1.1515358968700458e-08,1.0777562835957725e-08
1130.0,4.6405509988265247e-08,4.33745807163565e-10,-0.006131928421559981,0.0038308151306097192,0.05893803865450933,0.018897691133291497,8.41631884879907e-09,7.870111681630088e-09
1330.0,4.2404100703240613e-08,3.8328064865811964e-10,-0.005669424236099065,0.005057425107786847,0.06769624447727154,0.021786316610669404,6.455485769903924e-09,6.0456168866991e-09
1530.0,3.898796704686788e-08,3.705622587851213e-10,0.012714773078309694,0.007084005289258667,0.08068016702897002,0.023973233770940638,5.1583788751341656e-09,4.86747597722696e-09
1730.0,3.5729436092533646e-08,2.9634494700357386e-10,-0.00803766293874028,0.00684729291118762,0.078930816030757,0.024843896471898573,4.218020663262584e-09,3.979511996880483e-09
1930.0,3.308857169817528e-08,2.40372568905496e-10,-0.006537081844353995,0.006380994998788864,0.07621850340648348,0.02391097524704354,3.543819113869654e-09,3.343089604445973e-09
2130.0,3.101679896637341e-08,2.1381497743255906e-10,-0.022101373397903946,0.007017101968645874,0.07980001849865766,0.025476636674800116,3.018029605096946e-09,2.843670768134447e-09
2330.0,2.9558310987901185e-08,1.909933503273799e-10,-0.016003520576813226,0.007052330997261879,0.08010461974244866,0.025210729723266302,2.6133011368206045e-09,2.49617523759661e-09
2530.0,2.8641596601340072e-08,1.5556587532656063e-10,-0.008178814204048444,0.006135476915400572,0.0747057812179362,0.02354831560894372,2.299539254018786e-09,2.1882678333241936e-09
2730.0,2.9195301183795473e-08,1.5924551761997676e-10,-0.0020535740814726206,0.008138065231278446,0.08624556157219404,0.026453134792975536,2.033512516660308e-09,1.937709445162857e-09
2930.0,3.0553055224650234e-08,1.6937065904885358e-10,-0.017672822793588745,0.01099911740497073,0.10043777951439911,0.030188902782109867,1.818871877212376e-09,1.7513445345810637e-09
3130.0,3.325544598782837e-08,1.621989619916646e-10,-0.016030751277094416,0.012707606080965796,0.1075898613403425,0.033645621078108645,1.6386333511971152e-09,1.5717347538655996e-09
3330.0,4.127566438173441e-08,1.8961945810598673e-10,-0.03294533173104851,0.021008391845373182,0.13830872745842987,0.043348445810697245,1.4928998041857035e-09,1.430645352369105e-09
3530.0,5.162287072137207e-08,2.400659075142654e-10,0.0012628776398701347,0.04108607258780956,0.1948204161060624,0.0559560368152557,1.3603669581984366e-09,1.2947205719676688e-09
3730.0,6.017398261049961e-08,2.4696841370816427e-10,0.022272925354847053,0.05351650722838794,0.22078777947267766,0.06905985566095697,1.2461406608441798e-09,1.1806379089157089e-09
3930.0,5.6025002594209284e-08,2.336594809029844e-10,-0.013705084496417915,0.10392821809480342,0.30803071830948436,0.09510675408479943,1.1521604823560603e-09,9.348699002878343e-10
