Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
105.0,5.277860784870202e-07,4.279714557081898e-09,-0.005584215556013658,0.0055855597619662335,1.3878960619916996e-07,1.1399455232434134e-07
255.0,4.442955128717261e-07,3.3606771084216883e-09,-0.0022234725522345213,0.008944120364398135,6.856161393077053e-08,6.269382703270812e-08
405.0,4.4848275034682116e-07,3.3746919335602575e-09,-0.005708500676909124,0.015137968719100387,3.9466711941217984e-08,3.737626246230008e-08
555.0,4.483775297451877e-07,2.5146400927965724e-09,-0.0016029796267159311,0.01799606509256628,2.516659888178724e-08,2.4023507861005426e-08
705.0,4.6402718005919976e-07,2.1503368827585522e-09,0.009329716309192227,0.021975029873552734,1.7765680761445644e-08,1.7306747925916093e-08
855.0,4.6416601419836913e-07,1.9948896598110724e-09,0.00014922973932780524,0.027240733074390875,1.3084868783745107e-08,1.2807217409522885e-08
1005.0,4.829356999931534e-07,1.7189435431736967e-09,0.006244881521179633,0.030304024622432528,1.0194152847517297e-08,1.0122262194690993e-08
1155.0,5.0589959569389e-07,1.963229209249309e-09,0.0006134707593586363,0.04332985061916204,8.124054678866048e-09,7.766773359515463e-09
1305.0,5.490559809511625e-07,2.285445806399269e-09,-0.018160964263689634,0.061736495886242415,6.64862142058249e-09,6.315257182821164e-09
1455.0,6.12373639218587e-07,2.2964461654650513e-09,-0.0428907791878297,0.07232907157232091,5.5949560157589345e-09,5.328473691538569e-09
1605.0,7.072285178034423e-07,3.0502172976706844e-09,0.07719675211497863,0.11326107736319758,4.771966979369619e-09,4.6652842398042234e-09
1755.0,8.248889251479357e-07,3.1559022834680197e-09,0.04198830540357819,0.136330538619848,4.115963346473801e-09,3.899735658265422e-09
1905.0,9.7513373095484e-07,3.4329105448180336e-09,0.048068918782477356,0.17206959298317712,3.6258038886014305e-09,3.5177184687158833e-09
2055.0,1.1017338787740736e-06,3.250895299480964e-09,-0.07933318051584312,0.18190690410620128,3.1919906851695326e-09,3.0884699032021267e-09
2205.0,1.2161851789580776e-06,4.4841393249302116e-09,-0.12824195301528035,0.27627578570776457,2.852624170147495e-09,2.6900985960700885e-09
2355.0,1.3030447159594738e-06,4.656888339617327e-09,-0.0072705376546247725,0.32496779633084366,2.571135810903667e-09,2.578093583043185e-09
2505.0,1.3614669931462007e-06,4.3541922617290345e-09,0.18564330541615665,0.3329514124755412,2.3320884846985375e-09,2.273417482401019e-09
2655.0,1.3999179086563356e-06,4.928710513298797e-09,0.02484114608080374,0.4108437073778615,2.1263425595960593e-09,2.0509745526009117e-09
2805.0,1.44645148598251e-06,5.284354296461249e-09,-0.0004814439420911609,0.47868382213101607,1.9496333599214452e-09,1.9406018827093273e-09
2955.0,1.1763489283172603e-06,4.564557315158035e-09,-0.27935956886226276,0.45329233159581306,1.7970030813015447e-09,1.2542717868275233e-09
