Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,bias_err_compare,bias_err_test,inkap_x_inkap,inkap_x_reckap
130.0,5.063377650694406e-07,2.9995965490339453e-09,-0.007225285788532547,0.0014431449641506638,0.036198027194030355,0.011525961626298367,3.259402858460868e-07,-1.6434556648220238e-07
330.0,4.6900466104366073e-07,2.5282754606707094e-09,0.001553965124974095,0.003520520808875786,0.05665682942001242,0.01762170505221902,6.842487635426297e-08,-5.5257734034744205e-08
530.0,4.643807909859018e-07,2.410494806178483e-09,0.004926925905028205,0.012544765915291101,0.1069735904062842,0.03318760116187441,3.050015579262339e-08,-2.6215964642184305e-08
730.0,4.80894256571558e-07,2.3671940466924902e-09,0.0018228687006305907,0.03199723197915116,0.17058997603915993,0.053817209646264505,1.743673187059856e-08,-1.555509688784122e-08
930.0,4.914155636503997e-07,2.232244035690303e-09,-0.005647659839714065,0.06248412560065037,0.2386749624111679,0.07428585274921433,1.1519097295092455e-08,-1.0379504642086137e-08
1130.0,5.233151762021056e-07,2.073042474244379e-09,-0.001422097087791413,0.09005641444741043,0.286426033953177,0.0895351412645554,8.195135722480369e-09,-7.701510833609858e-09
1330.0,5.805232888942059e-07,2.648553397718071e-09,-0.005036198009009533,0.2856100274528773,0.509833779344188,0.16024838499185903,6.120647071337707e-09,-5.638826503135522e-09
1530.0,6.776912161859733e-07,2.1091184494566927e-09,-0.03814086798335062,0.2572211640526105,0.48362648162552674,0.15273044988843743,4.763623553474237e-09,-4.557893421133908e-09
1730.0,8.163159536696424e-07,2.6894025657911217e-09,-0.016959403687872958,0.6411173159622603,0.76362412363636,0.24082257735283324,3.837428221315774e-09,-3.67627694061048e-09
1930.0,9.856135469733393e-07,3.1375011544340983e-09,-0.04384546861626993,1.2104350018320749,1.049794638554228,0.32919024696195454,3.1616907487624322e-09,-3.073968877520833e-09
2130.0,1.124825930856608e-06,3.0856040774038773e-09,-0.05767545517519378,1.8604047959256251,1.2991356229672244,0.4155134523251777,2.6345826203920248e-09,-2.5014899673195455e-09
2330.0,1.2119483359760438e-06,4.031857386765813e-09,-0.043861352267968966,4.439632489616969,2.0096823285653107,0.6330951175528673,2.2465289028439034e-09,-2.122974996973281e-09
2530.0,1.2621985232358826e-06,3.91219359552774e-09,-0.12204678300516619,6.2135737613563755,2.3780296127598093,0.7473613063263349,1.953733598716132e-09,-1.7928097784095914e-09
2730.0,1.30485064830742e-06,4.640529225538607e-09,-0.4011949501970269,11.325975094879855,3.21568973322132,0.9926301599965875,1.7053852509232105e-09,-1.5687651677873145e-09
2930.0,1.345621857430991e-06,5.197701332210456e-09,-0.049541836340786044,15.317116858615702,3.747183849462798,1.1294822074476731,1.5040041587695208e-09,-1.4443674015545702e-09
3130.0,1.3901123053415208e-06,5.138687298253905e-09,-0.006780897714457985,22.19496350436946,4.50897077046565,1.3653373559145956,1.3317529478214418e-09,-1.2319674082151474e-09
3330.0,1.4170463605571253e-06,6.291617146962212e-09,-0.35705878439567906,34.996610189871035,5.654588655708466,1.738458318339602,1.194516348338613e-09,-1.1528602995811354e-09
3530.0,1.404921583282161e-06,7.09366093919028e-09,-0.43600131231469513,53.96952082053094,7.016979688312632,2.1752050189209493,1.078628679411433e-09,-1.044229805655724e-09
3730.0,1.3287530522846836e-06,7.90361914146448e-09,-0.12290174091161982,81.07321676332955,8.61525745350496,2.6173566385108415,9.740215032374027e-10,-9.452858228001819e-10
3930.0,1.0257464588068518e-06,6.603188100309226e-09,0.08542984779492853,118.13077311422876,10.37545964465903,3.237377067361896,8.834146613592178e-10,-7.49817311426877e-10
