Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,bias_err_compare,bias_err_test,inkap_x_inkap,inkap_x_reckap
130.0,2.473282755547373e-07,3.4779277203679e-09,-0.05064125501712827,0.0019095749471842104,0.04169423159161052,0.01308304242786661,3.259402858460868e-07,-1.648888579063408e-07
330.0,8.340970625286806e-08,8.484949322448032e-10,-0.03948380911024754,0.0005608476453070016,0.022616888247844337,0.007023105530427567,6.842487635426297e-08,-5.0665835759858244e-08
530.0,6.325246725524023e-08,6.718460257530083e-10,-0.029977010906442562,0.00121470987541947,0.03322372660966204,0.01053061563185671,3.050015579262339e-08,-2.483486095875763e-08
730.0,5.407873721945298e-08,5.625560034449076e-10,-0.034789856797314334,0.0022259716178426973,0.045174270492878595,0.013610911184742022,1.743673187059856e-08,-1.473566882743314e-08
930.0,4.891274731812025e-08,5.398450070954812e-10,-0.011151367481529395,0.004307329291962666,0.06263642555691246,0.019596108935603297,1.1519097295092455e-08,-9.963921211335164e-09
1130.0,4.427011991437201e-08,4.238233069424451e-10,-0.02613437275925868,0.004888913065972802,0.066885439839708,0.02037770849289986,8.195135722480369e-09,-7.206173254893897e-09
1330.0,4.044739288498563e-08,3.744018011261012e-10,-0.0496326011292208,0.006650655713209926,0.07773855128280446,0.024644945884718605,6.120647071337707e-09,-5.429369665475287e-09
1530.0,3.7328115991642464e-08,3.159466618193515e-10,-0.04305165314522406,0.007228747684297877,0.08107052629590955,0.025618693378119714,4.763623553474237e-09,-4.308678665897954e-09
1730.0,3.462324550160146e-08,2.962992336223928e-10,-0.03200360651671599,0.009268049228163417,0.09213110178717046,0.02792685645835297,3.837428221315774e-09,-3.513033281641262e-09
1930.0,3.219055816545731e-08,2.6339615931510556e-10,-0.017387765864309273,0.010463665175171551,0.09806600841930833,0.029098508000852903,3.1616907487624322e-09,-2.914104784697606e-09
2130.0,3.0378947715103857e-08,2.1547621192744618e-10,-0.03982736355604353,0.009626683809402717,0.09379442125009989,0.028797401823107704,2.6345826203920248e-09,-2.4601810748295884e-09
2330.0,2.9047324904875473e-08,2.0395591133887564e-10,-0.03376866604590926,0.011406793572701027,0.10237610715983121,0.030429036387959817,2.2465289028439034e-09,-2.1155575694058145e-09
2530.0,2.8304353141790255e-08,1.590269459984334e-10,0.008064127326056818,0.009256362033355692,0.09217084574904538,0.027584365630939855,1.953733598716132e-09,-1.8359939496263803e-09
2730.0,2.8989627315080487e-08,1.6196101982255e-10,-0.06464965510817618,0.011792527811485796,0.10385631865029384,0.031723695999905537,1.7053852509232105e-09,-1.6307975132981596e-09
2930.0,3.059329594816305e-08,1.7026125477870408e-10,-0.040122856661072494,0.015798269168836615,0.12011255411819415,0.037030305319298865,1.5040041587695208e-09,-1.4601189329876303e-09
3130.0,3.35110257786736e-08,1.618259444950975e-10,-0.01370949446118661,0.017702304843367468,0.12724956890040662,0.03885681482093117,1.3317529478214418e-09,-1.3013908495483729e-09
3330.0,4.215426300262425e-08,2.0500320306013077e-10,-0.005381534561132521,0.03451960924131185,0.1775889635422238,0.0546055791042505,1.194516348338613e-09,-1.1742711363817958e-09
3530.0,5.303276998433549e-08,2.817802640502846e-10,-0.010372323011347261,0.07407032861896351,0.26112283468408887,0.07671501694915733,1.078628679411433e-09,-1.0788693165287852e-09
3730.0,6.142133578955e-08,3.361547652403372e-10,-0.04938076173464654,0.1249242567361647,0.33842475050467186,0.1019457943321611,9.740215032374027e-10,-9.836098059728127e-10
3930.0,5.683004773650949e-08,2.967663556182791e-10,0.03284795212901588,0.23759297789586775,0.4676426998839699,0.13748921099889624,8.834146613592178e-10,-7.487426176986213e-10
