Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,bias_err_compare,bias_err_test,inkap_x_inkap,inkap_x_reckap
130.0,2.584480141586394e-07,2.5522003861305147e-09,0.004059081874492884,0.0008647349577866031,0.028033192879951506,0.008881162916084765,1.1817938369006733e-07,1.0372703474028464e-07
330.0,9.885873867595826e-08,1.0261784366294943e-09,0.005328802133322978,0.0005961907198199267,0.02329875265006108,0.007304713873328547,5.096958450921483e-08,4.738061063336058e-08
530.0,7.443714458932092e-08,6.430586439655666e-10,-0.00137049261393807,0.0008357446072321614,0.027564949453569756,0.008713103284955689,2.6902644985989326e-08,2.505210251925664e-08
730.0,6.37338246835293e-08,5.421925852299966e-10,-0.011865922563445219,0.001487751790466565,0.036720104201650894,0.011806173719138044,1.6814895031045887e-08,1.5756941216892803e-08
930.0,5.676966705028731e-08,4.969882640034466e-10,0.004608239070261983,0.0025676160827969702,0.048388164615515664,0.015040000263920491,1.1515358968700458e-08,1.0875324699208242e-08
1130.0,5.10223532148975e-08,4.1028348398951784e-10,0.002658467187696513,0.0033521529700783616,0.05523927804670807,0.017342869743985204,8.41631884879907e-09,7.906405974163414e-09
1330.0,4.6805355680237236e-08,3.632341723013254e-10,0.006203517624206301,0.004423474872662629,0.06345042859926847,0.01993785302463033,6.455485769903924e-09,6.079117443593962e-09
1530.0,4.3051328061383106e-08,3.4207225959448414e-10,0.011820235011668833,0.005894972514507016,0.07359318570288118,0.021886423476855748,5.1583788751341656e-09,4.8966238695694215e-09
1730.0,3.955623769471859e-08,2.822197770641317e-10,-0.002306942197458825,0.0061347011016629725,0.0748139754943809,0.023185559566013203,4.218020663262584e-09,3.988932682267448e-09
1930.0,3.685842753931251e-08,2.3065543287521603e-10,-0.0012022362381320522,0.0057306929607417794,0.0724188772491488,0.02204992468727498,3.543819113869654e-09,3.3596321116488547e-09
2130.0,3.4625568299042444e-08,2.027033763959655e-10,-0.010505138712395633,0.006237426614820146,0.07524179155090369,0.02400207114043503,3.018029605096946e-09,2.851429742338249e-09
2330.0,3.3058804767269564e-08,1.8124433519925575e-10,-0.004420462259413825,0.006305435473860058,0.07582940915987538,0.023565571928647656,2.6133011368206045e-09,2.4992408651648374e-09
2530.0,3.2283464065563944e-08,1.4995548087456694e-10,-0.005509929680313423,0.0056719732233377045,0.0716952345237575,0.023060064395424223,2.299539254018786e-09,2.19308993045585e-09
2730.0,3.2893715134574313e-08,1.590844874768741e-10,0.004358667003531936,0.008167043937841297,0.08622632002366525,0.027056712162008157,2.033512516660308e-09,1.9369455650937485e-09
2930.0,3.474799715871001e-08,1.6514368110265372e-10,-0.018746492773543292,0.010589357138354107,0.09835624224434945,0.0302556895463474,1.818871877212376e-09,1.747555875451851e-09
3130.0,3.88790104543258e-08,1.7091270883554542e-10,-0.023053396880503233,0.014091584406133598,0.1129601262409712,0.036491016507593364,1.6386333511971152e-09,1.5745827492935603e-09
3330.0,4.897471685585895e-08,2.0779946761045146e-10,-0.016523799865204684,0.025390291033997987,0.152027955775536,0.047726216031754067,1.4928998041857035e-09,1.428485439129788e-09
3530.0,6.123998243023653e-08,2.822883159419736e-10,0.017496996920927783,0.05755851738214898,0.23101846635472958,0.06472237314296847,1.3603669581984366e-09,1.2892915628711796e-09
3730.0,7.005162995151419e-08,3.0250104961993167e-10,0.078001104131455,0.08141761497890275,0.27261298915259086,0.08426015146077127,1.2461406608441798e-09,1.1759089722975091e-09
3930.0,6.266095015567262e-08,2.637598434923114e-10,0.00420205915570955,0.13063198659669908,0.34545705207918825,0.10626105479175377,1.1521604823560603e-09,9.379156759992225e-10
