Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,bias_err_compare,bias_err_test,inkap_x_inkap,inkap_x_reckap
105.0,5.292446110446688e-07,4.369924033522939e-09,-0.005286385704152091,0.0024039608041948805,0.04686665215153865,0.014404086930505424,1.3878960619916989e-07,1.1375839333198118e-07
255.0,4.456259163388087e-07,3.409584245167901e-09,0.004098284824118116,0.003852766629111747,0.05923461183441574,0.01854797535953302,6.856161393077063e-08,6.282079896250385e-08
405.0,4.4981837656842377e-07,3.284385642668382e-09,-0.0034737604745767345,0.009509043596614874,0.09297286107432609,0.02941242425011811,3.946671194121806e-08,3.73391517382902e-08
555.0,4.4927502661580435e-07,2.5073137535502592e-09,-0.019316344697230953,0.013024796056034377,0.10892942373551164,0.034046684136399115,2.5166598881787275e-08,2.40682216299973e-08
705.0,4.6498258525219795e-07,2.2378263922935218e-09,-0.021059013533523022,0.01918245729503775,0.13258633623248728,0.04004148772814995,1.7765680761445657e-08,1.7316285505758465e-08
855.0,4.6533029805031473e-07,2.0127676529208305e-09,-0.029378020168401582,0.028112114640821355,0.16014284311761198,0.04966270672274386,1.308486878374511e-08,1.2824124948556005e-08
1005.0,4.841913916657243e-07,1.7463062333067038e-09,-0.019778420353638335,0.03327850211579299,0.174216589571225,0.05410251411870181,1.0194152847517303e-08,1.0108600161190556e-08
1155.0,5.075595690697798e-07,1.9865683358491185e-09,0.0014999447276488585,0.07726993416627062,0.26549378731053186,0.08235886756009152,8.12405467886605e-09,7.796703017598744e-09
1305.0,5.505294797604665e-07,2.2738769935682616e-09,-0.06599866931218305,0.15980864356201385,0.3808711163386948,0.12143243512723528,6.648621420582496e-09,6.300286029466677e-09
1455.0,6.145182891042982e-07,2.2441611074429713e-09,0.01037353382783231,0.21643042901602405,0.44388123070132235,0.13928345934497577,5.594956015758932e-09,5.3185342873217944e-09
1605.0,7.091792148834472e-07,3.011207513237656e-09,0.020156881514124682,0.47746683737978696,0.6590867825377689,0.20753662439145193,4.771966979369621e-09,4.669256762381087e-09
1755.0,8.272000358375554e-07,3.2508153559499336e-09,-0.051544295023971724,0.8376686557157446,0.8767089143929766,0.26277392401003774,4.115963346473803e-09,3.90664716812283e-09
1905.0,9.779994797616784e-07,3.4013624038709818e-09,-0.04179388781122401,1.0927972498150742,0.9955973922306748,0.31872101028729555,3.6258038886014334e-09,3.519546711341748e-09
2055.0,1.1053998714813965e-06,3.2649687623861472e-09,-0.07487065195907001,1.3215147770886955,1.0979458369730706,0.3406313493532254,3.1919906851695273e-09,3.0809160506321795e-09
2205.0,1.2208286015623165e-06,4.3685483008729155e-09,0.08111449856126242,3.300600602240112,1.7334977035095136,0.5436785025797465,2.8526241701474894e-09,2.6812000228465033e-09
2355.0,1.3080354957841106e-06,4.561084758462298e-09,0.020161977853189343,3.4481829344030763,1.7689423150270842,0.5648238845071053,2.5711358109036626e-09,2.5747777328040845e-09
2505.0,1.3660039014211691e-06,4.340964078355721e-09,-0.3174259977718673,4.3381122133671655,1.9876848839529953,0.6222708537863036,2.3320884846985333e-09,2.2567935960837104e-09
2655.0,1.4056801601405382e-06,4.869612882686279e-09,-0.29069599984218,6.851522574171423,2.49773790757742,0.7828332639982762,2.1263425595960556e-09,2.0360592043688337e-09
2805.0,1.452469542174114e-06,5.227547342616669e-09,-0.3152363342320064,7.896138268360872,2.68568607713047,0.8265764111492776,1.949633359921446e-09,1.9480398517235493e-09
2955.0,1.1825141386834221e-06,4.542061209532008e-09,0.009533681782266707,30.572587885433858,5.278853830127841,1.6450805833084579,1.7970030813015424e-09,1.243457894170684e-09
