Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
105.0,3.508720833530944e-07,4.1681389722847024e-09,-0.01659750846529116,0.005492732720378628,1.3878960619916996e-07,1.1871474124272791e-07
255.0,1.515042020512305e-07,1.104787575554516e-09,-0.014761080497276037,0.002826604045017763,6.856161393077053e-08,6.265626808539586e-08
405.0,1.3419369792832866e-07,1.338662409961754e-09,-0.019652145175457953,0.006095130064147813,3.9466711941217984e-08,3.6935880603862224e-08
555.0,1.254609309050167e-07,1.108524200876812e-09,-0.019575737715089008,0.007694320332986834,2.516659888178724e-08,2.368378427223699e-08
705.0,1.244914707808216e-07,1.1023061143121843e-09,-0.013290659625205961,0.01083419818217376,1.7765680761445644e-08,1.674173679036222e-08
855.0,1.1994714290920987e-07,9.677507004470631e-10,-0.013468986255024969,0.013146009029036815,1.3084868783745107e-08,1.2385144769924326e-08
1005.0,1.227337491926904e-07,1.0299439686486489e-09,-0.02049684917086222,0.018404022684770163,1.0194152847517297e-08,9.690684963669109e-09
1155.0,1.2258242785169072e-07,9.167218604613579e-10,0.0013799733310260476,0.020302175786675092,8.124054678866048e-09,7.664000992832821e-09
1305.0,1.2616213529399775e-07,8.918093117555729e-10,-0.016087287741995845,0.023750255847274842,6.64862142058249e-09,6.289688372136904e-09
1455.0,1.256595323608053e-07,8.290109341560453e-10,0.007878894568436136,0.026757275735141833,5.5949560157589345e-09,5.372170428356902e-09
1605.0,1.319621126676858e-07,7.527233779774786e-10,-0.022720632270620985,0.028719342192470673,4.771966979369619e-09,4.56108364752368e-09
1755.0,1.3837830841066283e-07,7.471799060685882e-10,-0.04192711588714554,0.0338875565511288,4.115963346473801e-09,3.870676804019868e-09
1905.0,1.5033363072692871e-07,8.611146808071415e-10,-0.028279621882693846,0.043453731466277866,3.6258038886014305e-09,3.501410955130075e-09
2055.0,1.6004919433252427e-07,9.346646496257063e-10,-0.0022802009920901887,0.05277272837228012,3.1919906851695326e-09,3.0285115023142416e-09
2205.0,1.8327755326682226e-07,7.304685895520747e-10,-0.08676024972102887,0.048031899115906086,2.852624170147495e-09,2.708817332123338e-09
2355.0,2.2929249222113592e-07,1.1705426176492435e-09,-0.055061014189490866,0.08478097048224129,2.571135810903667e-09,2.48595181781578e-09
2505.0,2.825986285433404e-07,1.4316511947628982e-09,-0.01093304610671549,0.1107128485212806,2.3320884846985375e-09,2.209053683973187e-09
2655.0,3.2334598844126446e-07,1.7002131956673624e-09,-0.1309165888981022,0.14214280857414674,2.1263425595960593e-09,2.059402736130264e-09
2805.0,3.8172482443757477e-07,1.6216722916233317e-09,-0.08053905653681663,0.148889981282847,1.9496333599214452e-09,1.933659488069441e-09
2955.0,3.189079704072162e-07,1.1560093306266852e-09,-0.06954122615544842,0.11709114886968483,1.7970030813015447e-09,1.381016903902896e-09
